[*] '/home/tony/Advanced-Programming-in-the-UNIX-Environment/Lab3/gotoku'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_1        1c528      13630     
gop_2        1c090      12d00     
gop_3        1ce20      14820     
gop_4        1c998      13f10     
gop_5        1d870      15cc0     
gop_6        1d370      152c0     
gop_7        1bc38      12450     
gop_8        1dbb0      16340     
gop_9        1c3f0      133c0     
gop_10       1c108      12df0     
gop_11       1bc68      124b0     
gop_12       1dd50      16680     
gop_13       1d888      15cf0     
gop_14       1d398      15310     
gop_15       1cfa8      14b30     
gop_16       1cad8      14190     
gop_17       1c678      138d0     
gop_18       1c1e8      12fb0     
gop_19       1bd50      12680     
gop_20       1d740      15a60     
gop_21       1d250      15080     
gop_22       1cdc0      14760     
gop_23       1c918      13e10     
gop_24       1c490      13500     
gop_25       1c010      12c00     
gop_26       1bbd0      12380     
gop_27       1dcb0      16540     
gop_28       1d810      15c00     
gop_29       1d330      15240     
gop_30       1cc90      14500     
gop_31       1c7f0      13bc0     
gop_32       1c358      13290     
gop_33       1bee0      129a0     
gop_34       1dfc0      16b60     
gop_35       1db08      161f0     
gop_36       1d630      15840     
gop_37       1d1d0      14f80     
gop_38       1cd38      14650     
gop_39       1c8c0      13d60     
gop_40       1bd88      126f0     
gop_41       1de68      168b0     
gop_42       1d9a0      15f20     
gop_43       1d4a8      15530     
gop_44       1d008      14bf0     
gop_45       1cb80      142e0     
gop_46       1c6c8      13970     
gop_47       1c238      13050     
gop_48       1be38      12850     
gop_49       1df20      16a20     
gop_50       1d028      14c30     
gop_51       1cba8      14330     
gop_52       1c708      139f0     
gop_53       1c280      130e0     
gop_54       1bdb0      12740     
gop_55       1dea8      16930     
gop_56       1d9f8      15fd0     
gop_57       1d4e8      155b0     
gop_58       1d038      14c50     
gop_59       1cbb8      14350     
gop_60       1dd90      16700     
gop_61       1d8d8      15d90     
gop_62       1d3f8      153d0     
gop_63       1cef8      149d0     
gop_64       1ca58      14090     
gop_65       1c5c0      13760     
gop_66       1c138      12e50     
gop_67       1bcb8      12550     
gop_68       1dda0      16720     
gop_69       1d8c0      15d60     
gop_70       1c948      13e70     
gop_71       1c4c8      13570     
gop_72       1c030      12c40     
gop_73       1bb48      12270     
